ingredient_id,supplier_id,quality_level,pack_size,pack_unit,unit_price_ht,vat_rate,moq_qty,moq_value,lead_time_days,reliability,available,typical_shelf_life_days
salmon_fillet,metro_pro,2,1,kg,15.50,0.055,0,0,1,0.95,1,3
salmon_fillet,metro_pro,3,1,kg,17.20,0.055,0,0,1,0.95,1,3
salmon_fillet,rungis_direct,3,2,kg,16.90,0.055,0,120,2,0.92,1,4
salmon_fillet,bio_france,4,1,kg,19.90,0.055,0,0,3,0.88,1,3
beef_ground,metro_pro,2,5,kg,7.90,0.055,0,0,1,0.95,1,4
beef_ground,rungis_direct,3,3,kg,8.10,0.055,0,0,2,0.92,1,4
tomato,local_farm,2,5,kg,2.60,0.055,0,0,1,0.85,1,5
tomato,transgourmet,2,3,kg,2.80,0.055,0,0,2,0.94,1,5
tomato,pomona_terre,3,3,kg,3.10,0.055,0,0,2,0.90,1,5
cheese_cheddar,sysco_france,3,2,kg,12.00,0.055,0,0,1,0.96,1,21
cheese_cheddar,davigel,2,1,kg,12.80,0.055,0,0,3,0.93,1,21


chicken_breast,metro_pro,2,2,kg,6.90,0.055,0,0,1,0.95,1,4
chicken_breast,rungis_direct,3,5,kg,6.70,0.055,0,100,2,0.92,1,4
chicken_breast,bio_france,4,2,kg,8.20,0.055,0,0,3,0.88,1,4
lettuce_iceberg,local_farm,2,5,kg,2.30,0.055,0,0,1,0.85,1,6
lettuce_iceberg,transgourmet,3,3,kg,2.70,0.055,0,0,2,0.94,1,6
onion,local_farm,2,10,kg,1.60,0.055,0,0,1,0.85,1,21
onion,transgourmet,2,5,kg,1.75,0.055,0,0,2,0.94,1,21
potato,local_farm,2,10,kg,1.10,0.055,0,0,1,0.85,1,30
potato,transgourmet,2,5,kg,1.25,0.055,0,0,2,0.94,1,30
carrot,local_farm,2,5,kg,1.40,0.055,0,0,1,0.85,1,21
carrot,pomona_terre,3,3,kg,1.60,0.055,0,0,2,0.90,1,21
mushroom,rungis_direct,3,2,kg,4.60,0.055,0,0,2,0.92,1,5
mushroom,metro_pro,2,1,kg,4.80,0.055,0,0,1,0.95,1,5
bell_pepper,transgourmet,2,3,kg,4.10,0.055,0,0,2,0.94,1,7
bell_pepper,pomona_terre,3,3,kg,4.50,0.055,0,0,2,0.90,1,7
lemon,rungis_direct,3,3,kg,3.70,0.055,0,0,2,0.92,1,14
lemon,metro_pro,2,2,kg,3.90,0.055,0,0,1,0.95,1,14
avocado,bio_france,4,2,kg,8.60,0.055,0,0,3,0.88,1,5
avocado,rungis_direct,3,2,kg,8.30,0.055,0,0,2,0.92,1,5
rice_basmati,metro_pro,2,5,kg,3.20,0.055,0,0,1,0.95,1,365
pasta_penne,metro_pro,2,5,kg,2.60,0.055,0,0,1,0.95,1,365
milk,sysco_france,3,6,L,1.10,0.055,0,0,1,0.96,1,10
egg,local_farm,2,30,pièce,0.23,0.055,0,0,1,0.85,1,21
butter,davigel,3,2,kg,6.50,0.055,0,0,3,0.93,1,30
cream_heavy,sysco_france,3,6,L,4.30,0.055,0,0,1,0.96,1,14
cheese_mozzarella,transgourmet,3,2,kg,8.60,0.055,0,0,2,0.94,1,14
