id,name,category,base_price,unit,quality_levels,seasonality
1,Tomate,Légume,2.50,kg,"1:1.8,2:2.5,3:3.2,4:4.1,5:5.8","été:0.7,automne:1.0,hiver:1.4,printemps:1.1"
2,Salade,Légume,1.80,kg,"1:1.4,2:1.8,3:2.3,4:2.9,5:4.2","été:0.8,automne:1.0,hiver:1.3,printemps:0.9"
3,Bœuf haché,Viande,8.50,kg,"1:7.2,2:8.5,3:10.8,4:13.6,5:18.9","été:1.0,automne:1.0,hiver:1.0,printemps:1.0"
4,Poulet,Viande,6.20,kg,"1:5.1,2:6.2,3:7.8,4:9.9,5:13.7","été:1.0,automne:1.0,hiver:1.0,printemps:1.0"
5,Saumon,Poisson,15.80,kg,"1:12.6,2:15.8,3:20.0,4:25.3,5:35.1","été:1.1,automne:0.9,hiver:0.8,printemps:1.0"
6,Fromage,Produit laitier,7.30,kg,"1:6.0,2:7.3,3:9.2,4:11.7,5:16.2","été:1.0,automne:1.0,hiver:1.0,printemps:1.0"
7,Pain,Féculent,1.20,unité,"1:0.9,2:1.2,3:1.5,4:1.9,5:2.6","été:1.0,automne:1.0,hiver:1.0,printemps:1.0"
8,Pâtes,Féculent,1.80,kg,"1:1.4,2:1.8,3:2.3,4:2.9,5:4.0","été:1.0,automne:1.0,hiver:1.0,printemps:1.0"
9,Riz,Féculent,2.10,kg,"1:1.7,2:2.1,3:2.7,4:3.4,5:4.7","été:1.0,automne:1.0,hiver:1.0,printemps:1.0"
10,Huile olive,Condiment,4.50,L,"1:3.6,2:4.5,3:5.7,4:7.2,5:10.0","été:1.0,automne:1.0,hiver:1.0,printemps:1.0"
11,Oignon,Légume,1.50,kg,"1:1.2,2:1.5,3:1.9,4:2.4,5:3.4","été:1.1,automne:0.8,hiver:1.0,printemps:1.0"
12,Ail,Condiment,8.00,kg,"1:6.4,2:8.0,3:10.1,4:12.8,5:17.8","été:1.0,automne:0.9,hiver:1.0,printemps:1.1"
13,Champignon,Légume,4.20,kg,"1:3.4,2:4.2,3:5.3,4:6.7,5:9.3","été:1.2,automne:0.8,hiver:1.1,printemps:1.0"
14,Courgette,Légume,2.80,kg,"1:2.2,2:2.8,3:3.5,4:4.5,5:6.2","été:0.7,automne:1.0,hiver:1.4,printemps:1.1"
15,Carotte,Légume,1.90,kg,"1:1.5,2:1.9,3:2.4,4:3.0,5:4.2","été:1.1,automne:0.8,hiver:1.0,printemps:0.9"
